timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/04/16 00:24:24.252, Tesla PG503-216, 40 %, 15 %, 4332 MiB, 45
2026/04/16 00:24:25.253, Tesla PG503-216, 24 %, 9 %, 4332 MiB, 44
2026/04/16 00:24:26.253, Tesla PG503-216, 3 %, 0 %, 4332 MiB, 44
2026/04/16 00:24:27.254, Tesla PG503-216, 39 %, 15 %, 4332 MiB, 44
2026/04/16 00:24:28.254, Tesla PG503-216, 36 %, 14 %, 4332 MiB, 46
2026/04/16 00:24:29.255, Tesla PG503-216, 11 %, 3 %, 4332 MiB, 44
2026/04/16 00:24:30.255, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:31.255, Tesla PG503-216, 15 %, 6 %, 4332 MiB, 45
2026/04/16 00:24:32.256, Tesla PG503-216, 6 %, 1 %, 4332 MiB, 44
2026/04/16 00:24:33.256, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:34.257, Tesla PG503-216, 34 %, 14 %, 4332 MiB, 44
2026/04/16 00:24:35.257, Tesla PG503-216, 36 %, 14 %, 4332 MiB, 44
2026/04/16 00:24:36.258, Tesla PG503-216, 23 %, 9 %, 4332 MiB, 46
2026/04/16 00:24:37.258, Tesla PG503-216, 11 %, 3 %, 4332 MiB, 44
2026/04/16 00:24:38.259, Tesla PG503-216, 33 %, 13 %, 4332 MiB, 44
2026/04/16 00:24:39.259, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:40.259, Tesla PG503-216, 24 %, 9 %, 4332 MiB, 46
2026/04/16 00:24:41.260, Tesla PG503-216, 25 %, 9 %, 4332 MiB, 44
2026/04/16 00:24:42.260, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:43.261, Tesla PG503-216, 25 %, 9 %, 4332 MiB, 44
2026/04/16 00:24:44.261, Tesla PG503-216, 24 %, 9 %, 4332 MiB, 44
2026/04/16 00:24:45.262, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:46.262, Tesla PG503-216, 19 %, 7 %, 4332 MiB, 46
2026/04/16 00:24:47.263, Tesla PG503-216, 41 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:48.263, Tesla PG503-216, 12 %, 3 %, 4332 MiB, 45
2026/04/16 00:24:49.263, Tesla PG503-216, 42 %, 16 %, 4332 MiB, 44
2026/04/16 00:24:50.264, Tesla PG503-216, 31 %, 13 %, 4332 MiB, 44
2026/04/16 00:24:51.264, Tesla PG503-216, 17 %, 7 %, 4332 MiB, 45
2026/04/16 00:24:52.265, Tesla PG503-216, 40 %, 15 %, 4332 MiB, 44
2026/04/16 00:24:53.265, Tesla PG503-216, 9 %, 1 %, 4332 MiB, 46
2026/04/16 00:24:54.266, Tesla PG503-216, 0 %, 0 %, 4332 MiB, 44
2026/04/16 00:24:55.266, Tesla PG503-216, 25 %, 10 %, 4344 MiB, 44
2026/04/16 00:24:56.267, Tesla PG503-216, 10 %, 3 %, 4344 MiB, 44
2026/04/16 00:24:57.267, Tesla PG503-216, 17 %, 6 %, 4344 MiB, 44
2026/04/16 00:24:58.267, Tesla PG503-216, 37 %, 16 %, 4344 MiB, 44
2026/04/16 00:24:59.268, Tesla PG503-216, 7 %, 1 %, 4344 MiB, 45
2026/04/16 00:25:00.268, Tesla PG503-216, 38 %, 15 %, 4344 MiB, 46
2026/04/16 00:25:01.269, Tesla PG503-216, 35 %, 15 %, 4344 MiB, 44
2026/04/16 00:25:02.270, Tesla PG503-216, 28 %, 11 %, 4344 MiB, 44
2026/04/16 00:25:03.270, Tesla PG503-216, 42 %, 16 %, 4344 MiB, 45
2026/04/16 00:25:04.271, Tesla PG503-216, 1 %, 0 %, 4344 MiB, 45
2026/04/16 00:25:05.271, Tesla PG503-216, 30 %, 11 %, 4344 MiB, 44
